상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805247379,스마일통신,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,11,서울특별시,11530,구로구,11530790,수궁동,1153011000,온수동,1153011000100450051,1,대지,45,51,서울특별시 구로구 온수동 45-51,115304148097,서울특별시 구로구 경인로3길,61,,1153011000200170058001424,광장빌딩,서울특별시 구로구 경인로3길 61,152906,08263,,1,,126.82444793609,37.4916692955232
MA010120220806443797,하나기술단,,M1,과학·기술,M109,기술 서비스,M10901,건축 설계 및 관련 서비스업,M72111,건축 설계 및 관련 서비스업,11,서울특별시,11710,송파구,11710642,문정2동,1171010800,문정동,1171010800106420000,1,대지,642,,서울특별시 송파구 문정동 642,117102005011,서울특별시 송파구 송파대로,201,,1171010800101970001000001,송파테라타워2,서울특별시 송파구 송파대로 201,138888,05854,,,,127.12069210461,37.4877376053144
MA010120220813164440,골드공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11380,은평구,11380580,응암1동,1138010700,응암동,1138010700101030003,1,대지,103,3,서울특별시 은평구 응암동 103-3,113803005055,서울특별시 은평구 응암로,326,,1138010700101030003000001,,서울특별시 은평구 응암로 326,122908,03464,,1,,126.922475317049,37.6000293067605
MA010120220803734641,성북유리,,G2,소매,G202,자동차 부품 소매,G20202,자동차 부품 소매업,G45219,기타 자동차 신품 부품 및 내장품 판매업,11,서울특별시,11200,성동구,11200790,용답동,1120012200,용답동,1120012200102320007,1,대지,232,7,서울특별시 성동구 용답동 232-7,112004109510,서울특별시 성동구 자동차시장1길,55,,1120012200102320007001316,,서울특별시 성동구 자동차시장1길 55,133850,04808,,1,,127.063709975002,37.5609614771086
MA010120220805201913,이나엘웨딩,,N1,시설관리·임대,N110,가정용품 대여,N11004,의류 대여업,N76292,의류 임대업,11,서울특별시,11680,강남구,11680531,논현2동,1168010800,논현동,1168010800101170008,1,대지,117,8,서울특별시 강남구 논현동 117-8,116804166801,서울특별시 강남구 학동로45길,8,,1168010800101170008006027,유화빌딩,서울특별시 강남구 학동로45길 8,135821,06060,,,,127.03810844419,37.5168235101296
MA010120220800502303,모던헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,11,서울특별시,11500,강서구,11500530,등촌2동,1150010200,등촌동,1150010200105100012,1,대지,510,12,서울특별시 강서구 등촌동 510-12,115004145311,서울특별시 강서구 등촌로51길,9,,1150010200105100012026588,,서울특별시 강서구 등촌로51길 9,157836,07668,,1,,126.862789525972,37.5487985465093
MA010120220808398140,써브웨이고덕역점,,I2,음식,I210,기타 간이,I21005,토스트/샌드위치/샐러드,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,11,서울특별시,11740,강동구,11740540,명일2동,1174010100,명일동,1174010100100470003,1,대지,47,3,서울특별시 강동구 명일동 47-3,117404172097,서울특별시 강동구 동남로75길,13,10,1174010100100470003018720,,서울특별시 강동구 동남로75길 13-10,134825,05269,,1,,127.15504429074,37.5539211717967
MA010120220800470435,도미노피자,대림점,I2,음식,I210,기타 간이,I21003,피자,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,11,서울특별시,11560,영등포구,11560700,대림1동,1156013300,대림동,1156013300109090002,1,대지,909,2,서울특별시 영등포구 대림동 909-2,115603118014,서울특별시 영등포구 신길로,39,,1156013300109100004004678,썬프라자,서울특별시 영등포구 신길로 39,150820,07440,,1,,126.907780389445,37.4959624248296
MA010120220804064835,더북디지털,,M1,과학·기술,M105,광고,M10503,광고 매체 판매업,M71392,광고 매체 판매업,11,서울특별시,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100106520005,1,대지,652,5,서울특별시 강남구 역삼동 652-5,116803122004,서울특별시 강남구 봉은사로,226,,1168010100106520005021446,더북컴퍼니,서울특별시 강남구 봉은사로 226,135913,06135,,,,127.037086053523,37.5080210247596
MA010120220813432271,부동산미디어그룹,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11680,강남구,11680521,논현1동,1168010800,논현동,1168010800102030001,1,대지,203,1,서울특별시 강남구 논현동 203-1,116803122004,서울특별시 강남구 봉은사로,129,,1168010800102030001000001,,서울특별시 강남구 봉은사로 129,135726,06121,,,,127.028319878398,37.5059241099778
MA010120220800267293,고돌이고순이네,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11110,종로구,11110650,혜화동,1111017200,명륜4가,1111017200100800001,1,대지,80,1,서울특별시 종로구 명륜4가 80-1,111104100034,서울특별시 종로구 대학로11길,27,,1111017200100800001008204,,서울특별시 종로구 대학로11길 27,110530,03079,,2,,127.000135856345,37.582052943747
MA010120220812352683,큐브플레이,,R1,예술·스포츠,R104,유원지·오락,R10405,기타 오락장,J59202,녹음시설 운영업,11,서울특별시,11440,마포구,11440630,신수동,1144011300,구수동,1144011300100140000,1,대지,14,,서울특별시 마포구 구수동 14,114403113005,서울특별시 마포구 독막로,174,,1144011300100140000024594,,서울특별시 마포구 독막로 174,121854,04087,,3,,126.932929592226,37.5471473212451
MA010120220800419681,기영상사,,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,G47612,문구용품 및 회화용품 소매업,11,서울특별시,11590,동작구,11590660,대방동,1159010800,대방동,1159010800104170002,1,대지,417,2,서울특별시 동작구 대방동 417-2,115903118028,서울특별시 동작구 여의대방로,134,1,1159010800104170002004507,,서울특별시 동작구 여의대방로 134-1,156811,07055,,,,126.92070258433,37.4990352267133
MA010120220805605305,리퍼니처,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47861,중고 가구 소매업,11,서울특별시,11470,양천구,11470510,목1동,1147010200,목동,1147010200109190000,1,대지,919,,서울특별시 양천구 목동 919,114703114003,서울특별시 양천구 목동서로,186,,1147010200109190000021335,성우네트빌,서울특별시 양천구 목동서로 186,158051,07992,,,,126.871636622832,37.5303199860881
MA010120220801233681,에스엠프로헤어,대치점,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,11,서울특별시,11680,강남구,11680600,대치1동,1168010600,대치동,1168010600110140007,1,대지,1014,7,서울특별시 강남구 대치동 1014-7,116804166245,서울특별시 강남구 도곡로78길,22,,1168010600110140003014249,제,서울특별시 강남구 도곡로78길 22,135500,06279,,1,,127.058849193538,37.4966324859019
MA010120220813457406,하즈잉글리쉬학원,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11380,은평구,11380552,갈현2동,1138010400,갈현동,1138010400105050013,1,대지,505,13,서울특별시 은평구 갈현동 505-13,113803111001,서울특별시 은평구 갈현로,209,,1138010400105050013031480,,서울특별시 은평구 갈현로 209,122814,03324,,2,,126.913635290954,37.6160878088765
MA010120220813000638,브이에스신비,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,화장품; 비누 및 방향제 소매업,11,서울특별시,11740,강동구,11740640,성내1동,1174010800,성내동,1174010800105380008,1,대지,538,8,서울특별시 강동구 성내동 538-8,117404172168,서울특별시 강동구 성내로3길,16,9,1174010800105380007007278,영성빌딩,서울특별시 강동구 성내로3길 16-9,134850,05392,,,,127.122955977207,37.5306050499274
MA010120220803780246,래쉬팡,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,11,서울특별시,11215,광진구,11215847,자양4동,1121510500,자양동,1121510500100080019,1,대지,8,19,서울특별시 광진구 자양동 8-19,112154112196,서울특별시 광진구 동일로20길,67,,1121510500100080019015013,지,서울특별시 광진구 동일로20길 67,143841,05072,,1,,127.067335972251,37.5404527455638
MA010120220800357628,제이스크린골프,,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,11,서울특별시,11560,영등포구,11560620,양평2동,1156012800,양평동4가,1156012800100080002,1,대지,8,2,서울특별시 영등포구 양평동4가 8-2,115604154451,서울특별시 영등포구 선유로45길,5,,1156012800100080002019976,,서울특별시 영등포구 선유로45길 5,150866,07209,,2,,126.895423601765,37.534172698226
